tile,cycles
1268,65595
1269,283086
1270,36550
1271,46604
1272,47060
1273,63935
1274,64806
1275,104486
1276,94434
1277,57152
1278,46454
1279,57907
1280,55839
1281,149610
1282,133436
1283,39153
1284,161079
1285,47010
1286,154246
1287,48097
1288,195712
1289,53478
1290,41827
1291,61380
1292,371656
1293,34892
1294,45485
1295,26209
1296,27786
1297,35689
1298,63087
1299,53603
1300,28032
1301,217050
1302,198951
1303,49473
1304,192224
1305,95006
1306,74108
1307,140613
1308,37796
1309,19082
1310,38428
1311,28723
1312,48935
1313,105851
1314,29280
1315,154234
1316,180900
1317,225198
1318,85614
1319,29346
1320,54542
1321,16981
1322,18859
1323,69716
1324,42313
1325,457494
1326,41442
1327,164157
1328,78971
1329,42710
1330,177843
1331,114368
1332,75991
1333,58651
1334,205271
1335,335862
1336,40097
1337,28186
1338,57156
1339,83074
1340,87622
1341,37802
1342,89940
1343,46159
1344,27285
1345,37079
1346,26997
1347,211490
1348,123022
1349,442035
1350,102601
1351,84267
1352,45201
1353,62718
1354,24104
1355,177097
1356,489058
1357,53321
1358,154061
1359,23502
1360,50883
1361,69892
1362,51090
1363,42219
1364,144214
1365,42654
1366,31567
1367,59230
1368,23402
1369,49727
1370,161035
1371,168196
1372,354543
1373,39116
1374,21325
1375,95569
1376,21301
1377,164674
1378,94764
1379,19168
1380,150446
1381,18611
1382,27710
1383,55103
1384,71619
1385,44660
1386,154438
1387,35545
1388,25301
1389,36946
1390,186432
1391,37532
1392,54543
1393,507639
1394,26375
1395,88450
1396,47796
1397,30969
1398,21261
1399,133764
1400,47777
1401,94125
1402,19772
1403,28149
1404,36893
1405,75424
1406,37913
1407,46500
1408,206915
1409,47996
1410,45436
1411,414115
1412,36943
1413,100934
1414,115126
1415,138131
1416,159462
1417,152090
1418,59502
1419,89495
1420,111211
1421,22835
1422,39570
1423,40522
1424,68988
1425,188478
1426,48559
1427,229584
1428,175332
1429,510069
1430,28137
1431,463402
1432,29841
1433,48454
1434,78833
1435,179311
1436,138027
1437,91056
1438,44704
1439,351002
1440,55050
1441,26587
1442,21981
1443,68192
1444,145701
1445,59185
1446,110019
1447,50889
1448,159673
1449,32104
1450,69569
1451,160593
1452,23153
1453,183650
1454,143197
1455,31218
1456,69655
1457,41727
1458,50425
1459,68225
1460,51429
1461,285811
1462,65711
1463,237911
1464,30875
1465,60033
1466,76328
1467,145127
1468,46703
1469,119844
1470,182003
1471,27542
1472,156280
1473,19757
1474,299119
1475,28132
1476,95422
1477,454271
1478,26114
1479,591390
1480,86850
1481,26546
1482,126111
1483,98760
1484,77810
1485,119903
1486,60140
1487,65130
1488,169139
1489,188908
1490,35357
1491,36111
1492,62378
1493,25102
1494,282254
1495,368564
1496,46718
1497,64140
1498,593099
1499,53659
1500,124855
1501,138628
1502,34260
1503,247094
1504,42662
1505,91787
1506,45386
1507,152028
1508,121631
1509,41523
1510,59049
1511,22982
1512,282611
1513,42960
1514,144528
1515,128325
1516,51043
1517,160691
1518,136792
1519,41951
1520,39937
1521,31917
1522,40293
1523,46789
1524,38565
1525,29042
1526,30500
1527,48866
1528,141674
1529,151795
1530,118068
1531,132896
1532,264128
1533,209771
1534,20579
1535,29872
1536,30719
1537,60774
1538,188305
1539,114776
1540,67717
1541,76494
1542,90344
1543,52834
1544,24750
1545,69367
1546,25566
1547,145731
1548,62149
1549,24728
1550,44285
1551,128492
1552,36317
1553,64066
1554,27228
1555,104037
1556,84373
1557,90862
1558,82298
1559,52108
1560,137347
1561,260649
1562,25378
1563,107140
1564,60883
1565,69532
1566,216768
1567,52121
1568,69647
1569,231443
1570,143801
1571,88745
1572,412641
1573,105263
1574,41530
1575,61915
1576,57799
1577,48173
1578,58630
1579,120490
1580,64748
1581,130405
1582,28150
1583,37517
1584,202332
1585,29594
1586,180032
1587,100028
1588,105285
1589,149981
1590,17642
1591,54410
1592,26039
1593,36229
1594,17048
1595,74755
1596,75322
1597,67429
1598,257094
1599,114216
1600,252162
1601,29218
1602,103621
1603,54456
1604,99397
1605,145569
1606,26353
1607,71097
1608,43806
1609,88786
1610,196214
1611,155869
1612,162112
1613,94261
1614,48192
1615,69711
1616,135468
1617,67280
1618,148924
1619,198996
1620,49368
1621,145737
1622,145759
1623,48931
1624,58028
1625,175203
1626,38743
1627,29114
1628,65619
1629,36447
1630,141624
1631,72560
1632,94007
1633,100034
1634,26639
1635,425269
1636,37352
1637,55676
1638,90404
1639,137615
1640,91409
1641,104238
1642,158751
1643,63904
1644,49624
1645,149101
1646,42689
1647,44144
1648,322825
1649,33872
1650,181884
1651,366761
1652,257510
1653,169096
1654,276251
1655,69572
1656,41350
1657,41053
1658,72342
1659,65093
1660,39896
1661,22036
1662,29814
1663,158012
1664,38678
1665,154683
1666,94830
1667,291387
1668,123335
1669,53349
1670,35617
1671,81502
1672,53949
1673,46243
1674,43507
1675,34176
1676,34338
1677,34648
1678,82273
1679,92541
1680,26049
1681,66425
1682,45367
1683,91487
1684,152978
1685,117674
1686,22944
1687,70331
1688,31558
1689,42581
1690,48962
1691,271067
1692,253426
1693,47656
1694,30334
1695,86718
1696,49444
1697,32202
1698,30470
1699,75926
1700,277233
1701,77473
1702,149834
1703,36866
1704,597599
1705,91204
1706,63006
1707,25382
1708,274245
1709,35749
1710,36465
1711,85165
1712,61167
1713,160944
1714,90192
1715,325472
1716,43156
1717,152399
1718,24594
1719,81748
1720,184518
1721,175773
1722,72986
1723,172800
1724,120117
1725,133906
1726,107113
